,count,mean,std,min,25%,50%,75%,max
min_intensity,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_intensity,274.0,9788.649635036496,6835.337456229283,659.0,1708.25,15246.0,15542.0,15865.0
mean_intensity,274.0,766.3415423066076,651.2394321905765,27.70687294006348,56.39619827270508,926.1259765625,1304.1759033203125,2152.537841796875
std_intensity,274.0,1173.0330020180584,949.7982929522273,52.68642425537109,95.43470764160156,1646.4988403320312,2052.7854919433594,2697.9580078125
median_intensity,274.0,157.41970802919707,184.09663346368313,3.0,8.25,111.0,214.5,1207.0
p01_intensity,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p05_intensity,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p95_intensity,274.0,3484.8722627737225,2846.627258562525,144.0,273.0,4689.0,6140.25,7940.0
p99_intensity,274.0,4766.069343065694,3826.6741877897402,222.0,378.75,6774.5,8190.0,10332.0
nonzero_fraction,274.0,0.8199086678523745,0.06616257194151819,0.5619668458781362,0.7525214524840701,0.8548209594317875,0.8707623833235972,0.8974385607665523
