organ_name,qc_flag,n
colon,ok,272
colon,review_large_prediction,1
colon,review_small_prediction,1
duodenum,exclude_near_empty_prediction,1
duodenum,missing_prediction,4
duodenum,ok,269
kidney_left,ok,273
kidney_left,review_tiny_prediction,1
kidney_right,ok,273
kidney_right,review_tiny_prediction,1
small_bowel,ok,272
small_bowel,review_large_prediction,1
small_bowel,review_tiny_prediction,1
spleen,ok,273
spleen,review_large_prediction,1
stomach,ok,272
stomach,review_large_prediction,1
stomach,review_tiny_prediction,1
