case_id,n_scans,primary_variation_score,sensitivity_variation_score,n_primary_features_used,n_sensitivity_features_used,primary_variation_stratum,sensitivity_variation_stratum
case110,2,1.7125693228261243,1.573396003512438,30.0,35.0,high,high
case16,1,1.5621968636144066,1.4339293879082706,30.0,35.0,high,high
case15,2,1.3770245233801035,1.3613454883007658,30.0,35.0,high,high
case88,3,1.348831338516544,1.4096712585772895,30.0,35.0,high,high
case145,3,1.3091409117099864,1.1456733016927283,30.0,35.0,high,high
case77,3,1.2729088929867418,1.1396429922819176,30.0,35.0,high,high
case35,5,1.2557911867851101,1.1864252337565222,30.0,35.0,high,high
case40,3,1.2291339627031739,1.3298363321029438,30.0,35.0,high,high
case102,1,1.2148355424373405,1.1328315091035996,30.0,35.0,high,high
case148,2,1.1996846037916489,1.0826194756325473,30.0,35.0,high,high
case122,5,1.1960443382980652,1.1056875393357888,30.0,35.0,high,high
case139,4,1.193704600796346,1.1278003868034214,30.0,35.0,high,high
case78,5,1.12396300998358,1.1194449459461648,30.0,35.0,high,high
case136,3,1.1118986227296237,1.0421545307455016,30.0,35.0,high,high
case133,3,1.085730952294912,1.0097251832776981,30.0,35.0,high,high
case74,5,1.0537005373334245,1.0184081357680863,30.0,35.0,high,high
case67,3,1.0412656904173785,0.9532779085355092,30.0,35.0,high,high
case131,5,1.0247468622090328,0.9770411095229701,30.0,35.0,high,high
case33,2,1.023445471771394,0.9904158566155483,30.0,35.0,high,high
case22,1,1.020466166801896,1.035739910472953,30.0,35.0,high,high
case9,3,1.019876568989364,1.1989374258366348,30.0,35.0,high,high
case29,3,0.9831001860592692,0.9804477230017055,30.0,35.0,high,high
case143,3,0.9827095193095011,0.9357207259258752,30.0,35.0,high,medium
case92,1,0.976968976022374,0.8899354919059869,30.0,35.0,high,medium
case134,3,0.9704065100410042,1.1251063323388364,30.0,35.0,high,high
case47,3,0.9516077408393127,0.9206384910611569,30.0,35.0,high,medium
case11,3,0.9439602256711415,0.9437513754613068,30.0,35.0,high,high
case119,5,0.9206939542688215,1.019091928599617,30.0,35.0,high,high
case65,3,0.917628817464653,1.1223475688062723,30.0,35.0,medium,high
case108,3,0.8883109595707522,0.8783707747329192,30.0,35.0,medium,medium
case18,5,0.8818728516585624,0.8500287028523068,30.0,35.0,medium,medium
case6,3,0.8774316384710196,0.9531024958071145,30.0,35.0,medium,high
case34,3,0.8745126058871179,0.7917478501595212,30.0,35.0,medium,medium
case58,1,0.8714600327308024,0.8227406302366747,30.0,35.0,medium,medium
