fold,fold_role,primary_variation_stratum_final,n_cases
0,train,high,19
0,train,low,18
0,train,medium,17
0,val,high,4
0,val,low,5
0,val,medium,5
1,train,high,18
1,train,low,19
1,train,medium,17
1,val,high,5
1,val,low,4
1,val,medium,5
2,train,high,18
2,train,low,18
2,train,medium,18
2,val,high,5
2,val,low,5
2,val,medium,4
3,train,high,18
3,train,low,18
3,train,medium,19
3,val,high,5
3,val,low,5
3,val,medium,3
4,train,high,19
4,train,low,19
4,train,medium,17
4,val,high,4
4,val,low,4
4,val,medium,5
